Price,Mfg_Year,KM,HP,Quarterly_Tax,Weight,Mfr_Guarantee,Airco,Central_Lock,Powered_Windows,Metallic_Rim
13500,2002,46986,90,210,1165,0,0,1,1,0
13750,2002,72937,90,210,1165,0,1,1,0,0
13950,2002,41711,90,210,1165,1,0,0,0,0
14950,2002,48000,90,210,1165,1,0,0,0,0
13750,2002,38500,90,210,1170,1,1,1,1,0
12950,2002,61000,90,210,1170,0,1,1,1,0
16900,2002,94612,90,210,1245,0,1,1,1,0
18600,2002,75889,90,210,1245,1,1,1,1,0
21500,2002,19700,192,100,1185,0,1,1,1,1
12950,2002,71138,69,185,1105,0,1,0,0,0
20950,2002,31461,192,100,1185,1,1,1,1,1
19950,2002,43610,192,100,1185,1,1,1,1,1
19600,2002,32189,192,100,1185,1,1,1,1,1
21500,2002,23000,192,100,1185,1,1,1,1,1
22500,2002,34131,192,100,1185,1,1,1,1,1
22000,2002,18739,192,100,1185,0,1,1,1,1
22750,2002,34000,192,100,1185,0,1,1,1,1
17950,2002,21716,110,85,1105,0,1,1,1,0
16750,2002,25563,110,19,1065,0,1,1,1,0
16950,2002,64359,110,85,1105,1,1,1,1,0
15950,2002,67660,110,85,1105,1,1,1,1,0
16950,2002,43905,110,100,1170,0,1,1,1,0
15950,2002,56349,110,85,1120,0,1,1,1,1
16950,2002,32220,110,85,1120,1,1,1,1,0
16250,2002,25813,110,85,1120,1,1,1,1,0
15950,2002,28450,110,85,1120,0,1,1,1,1
17495,2002,34545,110,85,1120,1,1,1,1,1
15750,2002,41415,110,85,1120,1,1,1,1,1
16950,2002,44142,110,85,1120,1,1,1,1,0
17950,2002,11090,110,85,1120,1,1,1,1,0
12950,2002,9750,97,19,1100,1,0,0,0,0
15750,2002,35199,97,85,1100,1,1,1,1,1
15950,2002,29510,97,85,1100,1,1,1,1,0
14950,2002,32692,97,85,1100,0,1,1,1,0
15500,2002,41000,97,85,1100,0,1,1,1,0
15750,2002,43000,97,85,1100,1,1,1,1,0
15950,2002,25000,97,85,1100,0,1,1,1,0
14950,2002,10000,97,85,1100,1,0,1,1,0
15750,2002,25329,97,85,1100,1,1,1,1,0
14750,2002,27500,97,85,1100,1,0,0,0,0
13950,2002,49059,97,85,1100,0,0,0,0,0
16750,2002,44068,97,85,1100,1,1,1,1,0
13950,2002,46961,97,85,1100,1,0,0,0,0
16950,2002,110404,90,234,1255,1,1,1,1,0
16950,2002,100250,90,234,1255,1,1,1,1,0
19000,2002,84000,90,234,1270,0,1,1,1,0
17950,2002,79375,90,234,1255,0,1,1,1,0
15800,2002,75048,97,85,1110,0,1,1,1,0
17950,2002,72215,90,234,1255,1,1,1,1,0
21950,2002,64982,192,100,1195,1,1,1,1,1
17950,2002,62636,90,234,1255,1,1,1,1,0
15750,2002,57086,97,85,1110,0,1,1,1,1
20500,2002,56000,110,100,1180,1,1,1,1,1
21950,2002,49866,192,100,1195,0,1,1,1,1
15500,2002,49163,110,100,1165,0,0,0,0,0
13250,2002,45725,110,85,1075,1,1,1,1,0
15250,2002,43210,97,85,1110,0,1,1,1,0
15250,2002,43000,97,85,1110,1,1,1,1,0
18950,2002,39704,110,100,1180,1,1,1,1,0
15999,2002,38950,110,85,1130,0,1,1,1,0
14950,2002,37400,97,85,1110,0,1,1,1,0
16500,2002,37177,110,85,1130,0,1,1,1,0
18750,2002,36544,110,85,1130,1,1,1,1,0
17950,2002,33511,110,85,1130,1,1,1,1,0
17950,2002,32809,97,85,1110,0,1,1,1,0
16950,2002,32181,110,19,1075,0,1,1,1,0
18950,2002,30993,110,85,1130,1,1,1,1,0
14950,2002,30400,97,85,1110,0,1,1,1,0
22250,2002,30000,110,234,1275,1,1,1,1,0
15950,2002,29719,97,85,1110,1,0,0,1,0
15950,2002,29206,97,85,1110,1,1,1,1,0
12995,2002,29198,97,85,1060,1,1,0,1,1
18950,2002,28817,110,85,1130,1,1,1,1,0
15750,2002,28227,97,85,1110,0,0,0,0,0
19950,2002,28000,110,85,1130,1,1,1,1,1
16950,2002,28000,110,85,1115,1,1,1,1,0
18750,2002,25266,110,85,1130,1,1,1,1,0
18450,2002,23489,110,85,1115,0,0,1,1,0
16895,2002,22575,110,85,1115,1,1,1,1,0
